Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
NMD3,-0.22597942,1.0,FES,1.9780533,0.5462132413911508,VIM-AS1,0.0,1.0,FAM117A,0.5319922,0.9884531730128816,CD164,-1.0362813,0.523544535582471
PSMB3,-0.08853276,1.0,MRPS31,1.2337509,0.5462132413911508,ZNF487,0.0,1.0,C4orf33,0.57751834,0.9884531730128816,SAT2,-1.0344244,0.5224597396033333
SF3A2,-0.163831,1.0,SAMD8,2.0033326,0.5464454056426101,LRRC45,0.0,1.0,FPGS,0.5482986,0.9884531730128816,UBE2L6,-1.0417329,0.5207009478806117
VCPIP1,-0.22788574,1.0,COPA,1.8966887,0.5472861553818047,SRP14-AS1,0.0,1.0,ELF2,0.32754326,0.9886019032578736,COPS5,-1.06623,0.514428028615878
NSUN4,-0.30818316,1.0,RPL18,0.34868163,0.5466888175382072,SPAG4,0.0,1.0,SPRYD4,0.5721113,0.989193862623842,PSMA4,-1.0394939,0.5141722434162617
GRIPAP1,-0.22274089,1.0,ERP44,0.9802219,0.5472857537392786,MIR222HG,0.0,1.0,TFDP2,0.24967265,0.9892171700051962,CORO1C,-1.0553874,0.5123598646287664
SNRNP200,-0.21984373,1.0,GLS,1.3700004,0.5472861553818047,SLC9A7,0.0,1.0,VPS13D,0.5398162,0.9892171700051962,ARL6IP1,-0.8441979,0.5119439872580073
ACIN1,-0.17747688,1.0,PRKCI,1.9053242,0.5477865888016941,MSANTD3,0.0,1.0,SGSM3,0.608524,0.9892171700051962,SRM,-1.0613488,0.5086538320553954
TAF10,-0.18181819,1.0,PPP1CC,0.6946932,0.5472861553818047,MEX3C,0.0,1.0,EIF5AL1,0.39115772,0.9894740820302159,RAB10,-1.0652572,0.5094352587975337
AP2B1,-0.12300998,1.0,DPP7,0.90623754,0.5478166235385437,DIRAS3,0.0,1.0,ATP5EP2,0.30359697,0.9895873548424116,PIN4,-1.0567291,0.5068214006380679
MCM7,-0.1382096,1.0,RBM42,0.74116486,0.5476395171382347,CRNKL1,0.0,1.0,POLD3,0.5249814,0.9899090560099231,EEF1B2,-0.64307195,0.5031954588488622
RHBDD2,-0.19189572,1.0,CHERP,1.8735958,0.5483108663602926,EPS8L2,0.0,1.0,ARMCX6,0.3243809,0.990310002317521,ASAH1,-1.0735875,0.4992050881374002
OXSR1,-0.31950784,1.0,SLAIN2,1.2175069,0.5483529451778857,CLIC3,0.0,1.0,RP11-707G18.1,0.5554498,0.9903199095821085,MDH2,-1.0767999,0.49576982249694346
USP18,-0.16755264,1.0,SYMPK,1.3866445,0.5486226997577736,ARHGAP22,0.0,1.0,FBXO48,0.55106974,0.990637433402483,RPS18,-0.48869696,0.4963877233789569
C14orf119,-0.11876896,1.0,WDR53,1.8898686,0.5486237109597691,FGD3,0.0,1.0,POLDIP2,0.2986753,0.9909995858302071,RGS10,-0.8665593,0.49342197302214896
HLA-DQA1,-0.34226087,1.0,NPIPA1,2.0038645,0.5490051051043798,FSTL3,0.0,1.0,CPSF3L,0.3212205,0.9911476875424107,TXNL1,-1.080337,0.4931989464728835
LAS1L,-0.20213635,1.0,PIK3CA,1.2187855,0.5492881040701848,CLDN3,0.0,1.0,ASCC3,0.5292667,0.9911793629887505,TMED10,-1.0826666,0.4896699799881101
DDX50,-0.2900005,1.0,SMARCAD1,2.251996,0.5499481401019931,SPOCK2,0.0,1.0,POLDIP3,0.36814678,0.9911793629887505,MAP1LC3B,-0.7160209,0.4890011825016581
BMP4,-0.31319913,1.0,TMEM106B,1.8663539,0.5503506979958948,TMEM238,0.0,1.0,FABP4,0.3780055,0.9912596093436732,RAB5A,-1.1177322,0.4854238598481649
CCNL2,-0.15161492,1.0,CCDC50,1.1454741,0.5502763749953888,BRSK1,0.0,1.0,RBP7,0.51460016,0.9914219402645171,GTF3A,-1.0912286,0.48654641239114527
TOP1MT,-0.31826285,1.0,STAU1,0.99220675,0.550369439165106,IGLC6,0.0,1.0,TAPBP,0.2908605,0.9914996773017927,PFDN2,-0.9080467,0.485921646831959
CCDC94,-0.2590362,1.0,TRPT1,1.8917258,0.5506703861637336,C7orf43,0.0,1.0,HES4,0.404294,0.9915606058253403,NDUFS3,-1.1039605,0.48335535146325315
NCOA7,-0.17462419,1.0,C1orf198,2.1904314,0.5506703861637336,IGLC5,0.0,1.0,PRAF2,0.52857465,0.9918145137549952,BTG1,-0.7218993,0.48187237821356527
LARP4B,-0.34177968,1.0,PALLD,1.2287341,0.5506502789559595,FLNC,0.0,1.0,DDRGK1,0.302712,0.9926439147990502,ELOVL1,-1.1083372,0.47975664547657193
L3MBTL2,-0.34063402,1.0,RNF146,1.9907956,0.5508818606348908,NEIL1,0.0,1.0,RCOR3,0.51278514,0.9928068501438643,NRDC,-1.0995121,0.4788115899518782
TCERG1,-0.20456475,1.0,LINC00936,1.3527662,0.5508281744991267,RNF125,0.0,1.0,POLR2D,0.5216491,0.9931234265504222,MYL4,-1.1023693,0.4779790521640719
CGRRF1,-0.33482313,1.0,POP7,0.7796819,0.5506703861637336,BTBD6,0.0,1.0,EIF4E,0.23569654,0.9931234265504222,ATP5G3,-0.7988733,0.4731849846731568
FOXRED1,-0.34603757,1.0,PEX2,2.0885034,0.5521303384031601,POU2AF1,0.0,1.0,LAIR1,0.5070204,0.99321000557458,ZNHIT1,-1.1011649,0.4724220063174564
