"","Top","p.value","FDR","summary.logFC","logFC","r","tf","CellType","tag"
"Fibroblast.NR5A2",211,0.135130201734681,0.2290673394167,-0.283141638844111,-0.283141638844111,-0.104,"NR5A2","Fibroblast","ns"
"Fibroblast.NRF1",178,0.0674356238936906,0.136007803246264,0.391634707056534,0.391634707056534,0.185,"NRF1","Fibroblast","ns"
"Fibroblast.ONECUT1",37,0.000343135675658025,0.00332934344760083,-0.708916807151232,-0.708916807151232,-0.422,"ONECUT1","Fibroblast","**"
"Fibroblast.OTX2",26,0.000178679583780797,0.00238716900046018,-0.860244233823874,-0.860244233823874,-0.441,"OTX2","Fibroblast","**"
"Fibroblast.PAX2",309,0.59646277559936,0.692977787832266,-0.210285682731459,-0.210285682731459,-0.467,"PAX2","Fibroblast","ns"
"Fibroblast.PAX3",294,0.49466618145356,0.602165211491607,0.12776332982933,0.12776332982933,-0.217,"PAX3","Fibroblast","ns"
"Fibroblast.PAX5",348,0.902090561791403,0.930604918629637,0.0245648022204237,0.0245648022204237,0.0138,"PAX5","Fibroblast","ns"
"Fibroblast.PAX6",21,0.000100907207950651,0.00162831820570609,-0.811534041543101,-0.811534041543101,-0.365,"PAX6","Fibroblast","**"
"Fibroblast.PAX8",145,0.0263946202552397,0.065349439114697,-0.505960648745349,-0.505960648745349,-0.276,"PAX8","Fibroblast","ns"
"Fibroblast.PBX2",221,0.159598628527034,0.259257500638938,-0.338427998230439,-0.338427998230439,-0.0774,"PBX2","Fibroblast","ns"
"Fibroblast.PBX3",2,5.8640204562465e-09,1.05259167189625e-06,-1.44821537598327,-1.44821537598327,-0.607,"PBX3","Fibroblast","***"
"Fibroblast.PCGF2",270,0.356273166087358,0.47371135787171,-0.147588075918332,-0.147588075918332,-0.113,"PCGF2","Fibroblast","ns"
"Fibroblast.PDX1",149,0.0335582907685001,0.0808552106435673,-0.452812510443249,-0.452812510443249,-0.252,"PDX1","Fibroblast","ns"
"Fibroblast.PGR",48,0.000925529919068183,0.00692219251969745,-0.683937904699833,-0.683937904699833,-0.299,"PGR","Fibroblast","**"
"Fibroblast.PIN1",320,0.660925122179123,0.741475371444703,0.116698908469219,0.116698908469219,-0.196,"PIN1","Fibroblast","ns"
"Fibroblast.PITX1",205,0.127279987371731,0.222563112993265,-0.281181457581692,-0.281181457581692,0.199,"PITX1","Fibroblast","ns"
"Fibroblast.PKNOX1",186,0.0785303686173254,0.151572055557096,-0.419120678841342,-0.419120678841342,-0.204,"PKNOX1","Fibroblast","ns"
"Fibroblast.POU2F1",321,0.663207756589923,0.741499221807665,0.106488789762862,0.106488789762862,0.0516,"POU2F1","Fibroblast","ns"
"Fibroblast.POU2F2",107,0.0098018627063012,0.0328866234725433,-0.657624637916656,-0.657624637916656,-0.257,"POU2F2","Fibroblast","*"
"Fibroblast.POU4F2",76,0.00330115168013363,0.0155376723672674,-0.643450254460406,-0.643450254460406,-0.328,"POU4F2","Fibroblast","*"
"Fibroblast.POU5F1",70,0.00276352866750529,0.0141255585149872,-0.65639863151878,-0.65639863151878,-0.371,"POU5F1","Fibroblast","*"
"Fibroblast.PPARA",201,0.1136375346379,0.202964551915453,-0.376094102973213,-0.376094102973213,-0.165,"PPARA","Fibroblast","ns"
"Fibroblast.PPARD",100,0.00751780292823963,0.0269889125123803,0.477356801394378,0.477356801394378,0.293,"PPARD","Fibroblast","*"
"Fibroblast.PPARG",152,0.0390098958775689,0.0916249938040835,-0.437467577834779,-0.437467577834779,-0.179,"PPARG","Fibroblast","ns"
"Fibroblast.PRDM1",4,7.56101097170182e-07,6.78600734710239e-05,-1.22704238554201,-1.22704238554201,-0.508,"PRDM1","Fibroblast","***"
"Fibroblast.PRDM14",10,1.10656912711798e-05,0.000397258316635354,-1.00819338160571,-1.00819338160571,-0.521,"PRDM14","Fibroblast","***"
"Fibroblast.PROX1",8,8.5162928848024e-06,0.000367906752182203,-1.04925960883796,-1.04925960883796,-0.45,"PROX1","Fibroblast","***"
"Fibroblast.RARA",331,0.736732619379724,0.797890414060472,0.0816997249851829,0.0816997249851829,0.0103,"RARA","Fibroblast","ns"
"Fibroblast.RARB",245,0.239122789726251,0.350388087802955,0.26360413394961,0.26360413394961,0.155,"RARB","Fibroblast","ns"
"Fibroblast.RARG",300,0.531114237434253,0.635566704129656,0.151463275983138,0.151463275983138,-0.0774,"RARG","Fibroblast","ns"
"Fibroblast.RBPJ",282,0.415806476361751,0.529342287283222,-0.204318239320391,-0.204318239320391,-0.107,"RBPJ","Fibroblast","ns"
"Fibroblast.REL",195,0.0966700485077813,0.177746241044086,-0.279641991856125,-0.279641991856125,-0.0387,"REL","Fibroblast","ns"
"Fibroblast.RELA",254,0.281940869433972,0.396834234505499,0.224299870843348,0.224299870843348,0.143,"RELA","Fibroblast","ns"
"Fibroblast.RELB",83,0.00410433642617375,0.017752491289113,-0.680083533779839,-0.680083533779839,-0.319,"RELB","Fibroblast","*"
"Fibroblast.REST",191,0.0899951896086953,0.169153262144092,-0.366874544601093,-0.366874544601093,-0.168,"REST","Fibroblast","ns"
"Fibroblast.RFX1",97,0.00713142993701154,0.0263936427565685,-0.684640164596024,-0.684640164596024,-0.203,"RFX1","Fibroblast","*"
"Fibroblast.RFX2",116,0.0123724505662738,0.0382906013214854,-0.45808947741392,-0.45808947741392,-0.253,"RFX2","Fibroblast","*"
"Fibroblast.RFX5",122,0.0133578857250229,0.0393072211088788,0.536090524531834,0.536090524531834,0.265,"RFX5","Fibroblast","*"
"Fibroblast.RUNX1",91,0.00592745776198843,0.0233841465555368,-0.63888624138336,-0.63888624138336,-0.305,"RUNX1","Fibroblast","*"
"Fibroblast.RUNX2",29,0.000199091141519254,0.00246461102777283,-0.939985172417053,-0.939985172417053,-0.405,"RUNX2","Fibroblast","**"
"Fibroblast.RUNX3",256,0.282979287001136,0.396834234505499,-0.283733693649588,-0.283733693649588,-0.102,"RUNX3","Fibroblast","ns"
"Fibroblast.RXRA",24,0.000127928615331897,0.00191359887100629,-0.976933000834751,-0.976933000834751,-0.421,"RXRA","Fibroblast","**"
"Fibroblast.SATB1",241,0.230361929452698,0.343153247607961,-0.242078614339936,-0.242078614339936,-0.129,"SATB1","Fibroblast","ns"
"Fibroblast.SETDB1",158,0.0463422543073343,0.104590814015221,-0.443599057342019,-0.443599057342019,-0.184,"SETDB1","Fibroblast","ns"
"Fibroblast.SIX2",110,0.010482959575212,0.0341538408620452,-0.506995621909798,-0.506995621909798,-0.31,"SIX2","Fibroblast","*"
"Fibroblast.SIX5",358,0.988390029906587,0.991150895911913,-0.0028236025507884,-0.0028236025507884,0.0224,"SIX5","Fibroblast","ns"
"Fibroblast.SMAD1",95,0.00626325624387686,0.0236685157005452,-0.589876025305,-0.589876025305,-0.28,"SMAD1","Fibroblast","*"
"Fibroblast.SMAD3",32,0.000267391737708647,0.0029689742951055,-0.681647735946431,-0.681647735946431,-0.414,"SMAD3","Fibroblast","**"
"Fibroblast.SMAD4",332,0.740081793519156,0.797890414060472,0.0558153564439923,0.0558153564439923,0.0344,"SMAD4","Fibroblast","ns"
"Fibroblast.SMAD5",252,0.278829830382144,0.396834234505499,0.239760471488287,0.239760471488287,0.131,"SMAD5","Fibroblast","ns"
"Fibroblast.SNAI1",58,0.00139981499067059,0.00861112138158868,-0.878241501747941,-0.878241501747941,-0.278,"SNAI1","Fibroblast","**"
"Fibroblast.SNAI2",16,4.315494156417e-05,0.000968289001346066,-0.981585138837347,-0.981585138837347,-0.446,"SNAI2","Fibroblast","***"
"Fibroblast.SNAPC4",306,0.565848137829361,0.663854514642943,-0.119896411825503,-0.119896411825503,-0.0791,"SNAPC4","Fibroblast","ns"
"Fibroblast.SOX10",161,0.0475607068676388,0.105666429771721,-0.225460572072112,-0.225460572072112,-0.25,"SOX10","Fibroblast","ns"
