receptor,tf
Btk,Hmga1
Btk,Ikzf1
Btk,Ikzf3
Btk,Irf3
Btk,Irf5
Btk,Irf7
Btk,Jun
Btk,Myb
Btk,Myc
Btk,Nfatc2
Btk,Nfkb1
Btk,Nfkb2
Btk,Rela
Btk,Smad1
Btk,Smad3
Btk,Smad4
Btk,Sp1
Btk,Stat5a
Btk,Stat5b
Btk,Tbpl1
Btk,Tfcp2
Camk2a,Atf1
Camk2a,Cebpb
Camk2a,Creb1
Camk2a,Crem
Camk2a,Crx
Camk2a,Dlx5
Camk2a,E2f1
Camk2a,Elk1
Camk2a,Ets1
Camk2a,Ets2
Camk2a,Fos
Camk2a,Foxa2
Camk2a,Foxg1
Camk2a,Foxo1
Camk2a,Foxo3
Camk2a,Foxo4
Camk2a,Foxo6
Camk2a,Gata1
Camk2a,Gata2
Camk2a,Gcm1
Camk2a,Hand1
Camk2a,Hes5
Camk2a,Hsf1
Camk2a,Ikzf1
Camk2a,Ikzf3
Camk2a,Irf3
Camk2a,Irf5
Camk2a,Irf7
Camk2a,Jun
Camk2a,Mef2d
Camk2a,Mitf
Camk2a,Mxd1
Camk2a,Myb
Camk2a,Myc
Camk2a,Myog
Camk2a,Myt1
Camk2a,Nfatc1
Camk2a,Nfatc2
Camk2a,Nfkb1
Camk2a,Nr4a1
Camk2a,Nrf1
Camk2a,Pou2f1
Camk2a,Pou5f1
Camk2a,Rela
Camk2a,Runx2
Camk2a,Ski
Camk2a,Smad3
Camk2a,Smad4
Camk2a,Sox2
Camk2a,Sp1
Camk2a,Sp3
Camk2a,Srf
Camk2a,Stat1
Camk2a,Tal1
Camk2a,Tbp
Camk2a,Terf1
Camk2a,Twist1
Camk2b,Cebpb
Camk2b,Creb1
Camk2b,Dlx5
Camk2b,E2f1
Camk2b,Ets1
Camk2b,Fos
Camk2b,Foxa2
Camk2b,Foxg1
Camk2b,Foxo1
Camk2b,Foxo3
Camk2b,Foxo4
Camk2b,Foxo6
Camk2b,Gata1
Camk2b,Gata2
Camk2b,Hand1
Camk2b,Hes5
Camk2b,Hsf1
Camk2b,Ikzf1
Camk2b,Irf3
Camk2b,Irf5
Camk2b,Irf7
Camk2b,Mitf
Camk2b,Mxd1
Camk2b,Myb
Camk2b,Myt1
Camk2b,Nfatc2
Camk2b,Nfkb1
Camk2b,Nr4a1
Camk2b,Nrf1
Camk2b,Pou2f1
