"","RNA.Neural","RNA.MSC","RNA.Fibroblast","RNA.Megakaryocyte","RNA.Myeloid"
"IPO13",0.0225905525229029,0,0.0826429043661484,0,0
"ATP6V0B",0.659531882509148,0.206729328195829,0.384742930880586,0.389218649319836,0.430114778403105
"B4GALT2",0,0.0177387711589849,0.0400575475502338,0.0465377981617549,0
"SLC6A9",0.032869566579486,0.030020195776147,0.00782893277867664,0,0
"RP5-1198O20.4",0.0762406740687991,0,0,0,0
"DMAP1",0.0129687138308994,0.0342485096626084,0.0344558925020758,0.0100057823931717,0
"ERI3",0,0.129333398306851,0.234645623418217,0.0496209909580825,0
"RNF220",0.0242862578432391,0.0491146949160875,0.0776989043241646,0.0943830689564429,0
"C1orf228",0.017167913161816,0,0,0.0513269295226888,0.380655379179385
"RPS8",1.06851216608939,1.66585721216411,2.28677935892565,2.20388383282252,1.23955643547016
"PLK3",0,0.0472813582209176,0,0.0146200034591095,0
"PTCH2",0,0.226473913534927,0.0757950664915946,0.0146200034591095,0.10048488067894
"EIF2B3",0.0239697088174589,0.0646204604766094,0,0.0165724927761615,0
"UROD",0.415846116539803,0.104108005774011,0.433868315038201,0.410674656486534,0.08507075986346
"MUTYH",0.0123799260224762,0.0569435780944547,0.00782893277867664,0,0
