"","receptor","tf"
"2372","BCL2L1","PITX2"
"2373","BCL2L1","POU5F1"
"2374","BCL2L1","RUNX2"
"2375","BCL2L1","SKI"
"2376","BCL2L1","SMAD3"
"2377","BCL2L1","SOX2"
"2378","BCL2L1","SP1"
"2379","BCL2L1","STAT1"
"2380","BCL2L1","TAL1"
"2381","BCL2L1","TERF1"
"2382","BCL2L1","TP53"
"2387","BCL2L1","TWIST1"
"2388","BCL2L1","YBX1"
"2389","BCL2L1","ZNF322"
"2390","BCR","CEBPB"
"2392","BCR","CREB1"
"2395","BCR","DLX5"
"2398","BCR","E2F1"
"2406","BCR","ELK1"
"2411","BCR","FOXA2"
"2414","BCR","FOXG1"
"2417","BCR","FOXO1"
"2424","BCR","FOXO3"
"2438","BCR","FOXO4"
"2441","BCR","FOXO6"
"2444","BCR","GATA1"
"2448","BCR","GATA2"
"2451","BCR","GLI1"
"2452","BCR","HAND1"
"2455","BCR","HES5"
"2458","BCR","HIF1A"
"2459","BCR","HMGA1"
"2460","BCR","IKZF3"
"2465","BCR","IRF3"
"2466","BCR","IRF7"
"2467","BCR","JUN"
"2472","BCR","MEF2D"
"2479","BCR","MITF"
"2482","BCR","MXD1"
"2485","BCR","MYOD1"
"2486","BCR","MYT1"
"2489","BCR","NEUROD1"
"2490","BCR","NFATC1"
"2494","BCR","NFATC2"
"2499","BCR","NFKB1"
"2500","BCR","NKX2-1"
"2501","BCR","NR4A1"
"2504","BCR","NRF1"
"2507","BCR","PAX3"
"2508","BCR","PAX8"
"2509","BCR","PITX2"
"2512","BCR","POU5F1"
"2515","BCR","RUNX2"
"2519","BCR","SKI"
"2522","BCR","SMAD3"
"2530","BCR","SNAI1"
"2534","BCR","SOX2"
"2537","BCR","SP1"
"2540","BCR","STAT1"
"2544","BCR","STAT5A"
"2545","BCR","STAT5B"
"2546","BCR","TAL1"
"2549","BCR","TBP"
"2555","BCR","TCF3"
"2557","BCR","TEAD1"
"2558","BCR","TEAD2"
"2559","BCR","TEAD3"
"2560","BCR","TEAD4"
"2561","BCR","TERF1"
"2564","BCR","TP53"
"2569","BCR","TP63"
"2570","BCR","TP73"
"2571","BCR","TWIST1"
"2574","BCR","XBP1"
"2575","BCR","YBX1"
"2579","BCR","ZNF322"
"2582","BDKRB1","TP53"
"2583","BIRC2","AIRE"
"2584","BIRC2","ARNT"
"2585","BIRC2","ARNTL"
"2586","BIRC2","CEBPA"
"2587","BIRC2","EGR1"
"2588","BIRC2","ETV5"
"2589","BIRC2","FOS"
"2590","BIRC2","FOXL2"
"2591","BIRC2","GATA1"
"2592","BIRC2","HSF2"
"2593","BIRC2","IRF5"
"2596","BIRC2","IRF7"
"2598","BIRC2","JUN"
"2600","BIRC2","MITF"
"2601","BIRC2","MXD1"
"2602","BIRC2","MYB"
"2604","BIRC2","MYOD1"
"2605","BIRC2","NFATC1"
"2606","BIRC2","NFKB1"
"2614","BIRC2","PLAG1"
"2615","BIRC2","RELA"
"2621","BIRC2","RUNX2"
"2622","BIRC2","SMAD1"
"2624","BIRC2","SMAD3"
"2625","BIRC2","SMAD4"
"2630","BIRC2","SMAD5"
"2632","BIRC2","SMAD9"
"2634","BIRC2","SOX4"
"2635","BIRC2","SOX6"
"2636","BIRC2","SP1"
"2637","BIRC2","SP3"
"2638","BIRC2","TFAP2B"
"2639","BIRC2","TFAP2C"
"2640","BIRC2","TP53"
"2642","BIRC2","TRPS1"
"2643","BIRC2","ZHX1"
"2644","BIRC3","ARNT"
"2645","BIRC3","ARNTL"
"2646","BIRC3","CEBPA"
"2647","BIRC3","ETV5"
"2648","BIRC3","FOS"
"2649","BIRC3","FOXL2"
"2650","BIRC3","GATA1"
"2651","BIRC3","HSF2"
"2652","BIRC3","IRF5"
"2655","BIRC3","IRF7"
"2657","BIRC3","JUN"
"2658","BIRC3","MITF"
"2659","BIRC3","MYB"
"2661","BIRC3","NFATC1"
"2662","BIRC3","NFKB1"
"2665","BIRC3","PLAG1"
"2666","BIRC3","RELA"
"2669","BIRC3","RUNX2"
"2670","BIRC3","SMAD1"
"2672","BIRC3","SMAD3"
"2673","BIRC3","SMAD4"
"2677","BIRC3","SMAD5"
"2679","BIRC3","SMAD9"
"2681","BIRC3","SOX4"
"2682","BIRC3","SOX6"
"2683","BIRC3","SP3"
"2684","BIRC3","TFAP2B"
"2685","BIRC3","TFAP2C"
"2686","BIRC3","TP53"
"2687","BIRC3","TRPS1"
"2688","BIRC3","ZHX1"
"2689","BIRC5","ATF2"
"2690","BIRC5","E2F1"
"2692","BIRC5","E2F2"
"2693","BIRC5","E2F3"
"2694","BIRC5","HIF1A"
"2695","BIRC5","JUN"
"2696","BIRC5","MEF2A"
"2697","BIRC5","MEF2C"
"2698","BIRC5","MYC"
"2699","BIRC5","MYOD1"
"2700","BIRC5","RUNX3"
"2701","BIRC5","SP1"
"2702","BIRC5","SP3"
"2703","BIRC5","SPI1"
"2704","BIRC5","TBP"
"2705","BIRC5","TFDP1"
"2706","BIRC5","TP53"
"2708","BIRC5","YY1"
"2710","BLK","ELK1"
"2711","BLK","IKZF3"
"2712","BLK","JUN"
"2713","BLK","NFKB1"
"2714","BLK","SMAD3"
"2716","BLK","TP53"
"2717","BMPR1A_BMPR1B_BMPR2","SMAD1"
"2718","BMPR1A","HOXC8"
"2719","BMPR1A","SMAD1"
"2720","BMPR1A","SMAD4"
"2721","BMPR1A","SMAD5"
"2722","BMPR1A","SMAD9"
"2723","BMPR1B","ARNTL"
"2725","BMPR1B","ATF1"
