"","ligands_human"
"1139","EGF"
"1140","EGF"
"1141","EGF"
"1142","EGF"
"1143","EGF"
"1144","EGF"
"1145","EGF"
"1146","EGF"
"1147","EGF"
"1148","EGF"
"1149","EGF"
"1150","EGF"
"1151","EGF"
"1152","EGF"
"1153","EGF"
"1154","EGF"
"1155","EGF"
"1156","EGF"
"1157","EGF"
"1158","EGF"
"1159","EGF"
"1160","EGF"
"1161","EGF"
"1162","EGF"
"1163","EGF"
"1164","EGF"
"1165","EGF"
"1166","EGF"
"1167","EGF"
"1168","EGF"
"1169","EGF"
"1170","EGF"
"1171","EGF"
"1172","EGF"
"1173","EGF"
"1174","EGF"
"1175","EGF"
"1176","EGF"
"1177","EGF"
"1178","EGF"
"1179","EGF"
"1180","EGF"
"1181","EGF"
"1182","EGF"
"1183","EGF"
"1184","EGF"
"1185","EGF"
"1186","EGF"
"1187","EGF"
"1188","EGF"
"1189","EGF"
"1190","EGF"
"1191","EGF"
"1192","EGF"
"1193","EGF"
"1194","EGF"
"1195","EGF"
"1196","EGF"
"1197","EGF"
"1198","EGF"
"1199","EGF"
"1200","EGF"
"1201","EGF"
"1202","EGF"
"1203","EGF"
"1204","EGF"
"1205","EGF"
"1206","EGF"
"1207","EGF"
"1208","EGF"
"1209","EGF"
"1210","EGF"
"1211","EGF"
"1212","EGF"
"1213","EGF"
"1214","EGF"
"1215","EGF"
"1216","EGF"
"1217","EGF"
"1218","EGF"
"1219","EGF"
"1220","EGF"
"1221","EGF"
"1222","EGF"
"1223","EGF"
"1224","EGF"
"1225","EGF"
"1226","EGF"
"1227","EGF"
"1228","EGF"
"1229","EGF"
"1230","EGF"
"1231","EGF"
"1232","EGF"
"1233","EGF"
"1234","EGF"
"1235","EGF"
"1236","TGFA"
"1237","TGFA"
"1238","TGFA"
"1239","TGFA"
"1240","TGFA"
"1241","TGFA"
"1242","TGFA"
"1243","TGFA"
"1244","TGFA"
"1245","TGFA"
"1246","TGFA"
"1247","TGFA"
"1248","TGFA"
"1249","TGFA"
"1250","TGFB1"
"1251","TGFB1"
"1252","TGFB1"
"1253","TGFB1"
"1254","TGFB1"
"1255","TGFB1"
"1256","TGFB1"
"1257","TGFB1"
"1258","TGFB1"
"1259","TGFB1"
"1260","TGFB1"
"1261","TGFB1"
"1262","TGFB1"
"1263","TGFB1"
"1264","TGFB1"
"1265","TGFB1"
"1266","TGFB1"
"1267","TGFB1"
"1268","TGFB1"
"1269","TGFB1"
"1270","TGFB1"
"1271","TGFB1"
"1272","TGFB1"
"1273","TGFB1"
"1274","TGFB1"
"1275","TGFB1"
"1276","TGFB1"
"1277","TGFB1"
"1278","TGFB1"
"1279","TGFB1"
