receptor,tf
BMPR1B,NR4A1
BMPR1B,NRF1
BMPR1B,PITX2
BMPR1B,POU5F1
BMPR1B,PURB
BMPR1B,RELA
BMPR1B,RUNX2
BMPR1B,SKI
BMPR1B,SMAD1
BMPR1B,SMAD3
BMPR1B,SMAD4
BMPR1B,SMAD5
BMPR1B,SMAD9
BMPR1B,SNAI1
BMPR1B,SOX2
BMPR1B,SP1
BMPR1B,SP3
BMPR1B,SPI1
BMPR1B,STAT1
BMPR1B,TAL1
BMPR1B,TBP
BMPR1B,TCF3
BMPR1B,TERF1
BMPR1B,TFCP2
BMPR1B,TFDP1
BMPR1B,TP53
BMPR1B,TWIST1
BMPR1B,YBX1
BMPR1B,YY1
BMPR1B,ZBTB16
BMPR1B,ZNF322
BMPR2,CREB1
BMPR2,E2F1
BMPR2,E4F1
BMPR2,FOXL1
BMPR2,KMT2A
BMPR2,LMX1A
BMPR2,SP1
BMPR2,TP53
BMX,CEBPB
BMX,CREB1
BMX,ELF1
BMX,ELK1
BMX,FOXO3
BMX,HMGA1
BMX,IKZF3
BMX,IRF3
BMX,MYC
BMX,NFATC2
BMX,RELA
BMX,SMAD1
BMX,SMAD3
BMX,SP1
BMX,STAT1
BMX,STAT5A
BMX,TFCP2
BMX,TP53
BTK,ARID3A
BTK,CREB1
BTK,EGR1
BTK,ELF1
BTK,ELK1
BTK,FOXO3
BTK,GLI1
BTK,GLI2
BTK,GLI3
BTK,GLIS2
BTK,GTF2I
BTK,HMGA1
BTK,IKZF1
BTK,IKZF3
BTK,IRF3
BTK,IRF5
BTK,IRF7
BTK,JUN
BTK,MYB
BTK,MYC
BTK,MYOD1
BTK,NFATC2
BTK,NFKB1
BTK,NFKB2
BTK,RELA
BTK,SMAD1
BTK,SMAD3
BTK,SMAD4
BTK,SP1
BTK,STAT5A
BTK,STAT5B
BTK,TBPL1
BTK,TFCP2
BTK,TP53
BTK,TP63
CAMK2A,ATF1
CAMK2A,CEBPB
CAMK2A,CREB1
CAMK2A,CREM
CAMK2A,CRX
CAMK2A,DLX5
CAMK2A,E2F1
CAMK2A,ELK1
CAMK2A,ETS1
CAMK2A,ETS2
CAMK2A,FOXA2
CAMK2A,FOXG1
CAMK2A,FOXO1
CAMK2A,FOXO3
CAMK2A,FOXO4
CAMK2A,FOXO6
CAMK2A,GATA1
CAMK2A,GATA2
CAMK2A,GCM1
CAMK2A,HAND1
CAMK2A,HES5
CAMK2A,HSF1
CAMK2A,IKZF1
CAMK2A,IKZF3
CAMK2A,IRF3
CAMK2A,IRF5
CAMK2A,IRF7
CAMK2A,JUN
CAMK2A,MEF2D
CAMK2A,MITF
CAMK2A,MXD1
CAMK2A,MYB
CAMK2A,MYC
CAMK2A,MYOG
CAMK2A,MYT1
CAMK2A,NFATC1
CAMK2A,NFATC2
CAMK2A,NFKB1
CAMK2A,NR4A1
CAMK2A,NRF1
CAMK2A,PITX2
CAMK2A,POU2F1
CAMK2A,POU5F1
CAMK2A,RELA
CAMK2A,RUNX2
CAMK2A,SKI
CAMK2A,SMAD3
CAMK2A,SMAD4
CAMK2A,SOX2
CAMK2A,SP1
CAMK2A,SP3
CAMK2A,SRF
CAMK2A,STAT1
CAMK2A,TAL1
CAMK2A,TBP
CAMK2A,TERF1
CAMK2A,TP53
CAMK2A,TWIST1
CAMK2A,YBX1
CAMK2A,ZNF322
CAMK2B,ARNTL
CAMK2B,ATF2
CAMK2B,CEBPB
CAMK2B,CREB1
CAMK2B,DLX5
CAMK2B,ETS1
CAMK2B,FOXA2
CAMK2B,FOXG1
CAMK2B,FOXO1
CAMK2B,FOXO3
CAMK2B,FOXO4
CAMK2B,FOXO6
CAMK2B,GATA1
CAMK2B,GATA2
CAMK2B,GLI1
CAMK2B,HAND1
CAMK2B,HES5
CAMK2B,HIF1A
CAMK2B,HNF4A
CAMK2B,HSF1
CAMK2B,IKZF1
CAMK2B,IRF1
CAMK2B,IRF3
CAMK2B,IRF5
CAMK2B,IRF7
CAMK2B,MITF
CAMK2B,MLXIPL
CAMK2B,MXD1
CAMK2B,MYB
CAMK2B,MYT1
CAMK2B,NFATC2
CAMK2B,NFKB1
CAMK2B,NR4A1
CAMK2B,NRF1
CAMK2B,PITX2
CAMK2B,POU2F1
CAMK2B,POU5F1
CAMK2B,RELA
CAMK2B,RUNX2
CAMK2B,SKI
CAMK2B,SMAD3
CAMK2B,SMAD4
CAMK2B,SOX2
CAMK2B,SP1
CAMK2B,SP3
CAMK2B,SREBF1
CAMK2B,STAT1
CAMK2B,TAL1
CAMK2B,TERF1
CAMK2B,TFEB
CAMK2B,TP53
CAMK2B,TWIST1
CAMK2B,WT1
CAMK2B,YBX1
CAMK2B,ZNF322
CAMK2B,ZNF692
CAMK2D,CEBPB
CAMK2D,CREB1
CAMK2D,CREM
CAMK2D,DLX5
CAMK2D,E2F1
CAMK2D,FOXA2
CAMK2D,FOXG1
CAMK2D,FOXO1
CAMK2D,FOXO3
CAMK2D,FOXO4
CAMK2D,FOXO6
CAMK2D,GATA1
CAMK2D,GATA2
CAMK2D,HAND1
CAMK2D,HES5
CAMK2D,HSF1
CAMK2D,IKZF1
CAMK2D,MEF2D
CAMK2D,MITF
CAMK2D,MXD1
CAMK2D,MYT1
CAMK2D,NFATC2
CAMK2D,NR4A1
CAMK2D,NRF1
CAMK2D,PITX2
CAMK2D,POU5F1
CAMK2D,RUNX2
CAMK2D,SKI
CAMK2D,SMAD3
CAMK2D,SMAD4
CAMK2D,SOX2
CAMK2D,SP1
CAMK2D,SP3
CAMK2D,STAT1
CAMK2D,TAL1
CAMK2D,TBP
CAMK2D,TERF1
CAMK2D,TP53
CAMK2D,TWIST1
CAMK2D,YBX1
CAMK2D,ZNF322
CAMK2G,ATF1
CAMK2G,CEBPB
CAMK2G,CREB1
CAMK2G,CREM
CAMK2G,DLX5
CAMK2G,ELK1
CAMK2G,FOXA2
CAMK2G,FOXG1
CAMK2G,FOXO1
CAMK2G,FOXO3
CAMK2G,FOXO4
CAMK2G,FOXO6
CAMK2G,GATA1
CAMK2G,GATA2
CAMK2G,GCM1
CAMK2G,HAND1
CAMK2G,HES5
