Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
HMGA1,,1.0,SPIB,-0.90631783,0.009535524428625104,KMT2A,0.47746882,1.0,GATA1,-0.5862042,1.0,MYOD1,0.18491021,1.0
PIN1,0.088418745,1.0,FOXO1,-1.5532501,0.009535524428625104,MBD4,-1.924841,1.0,SPDEF,2.2591276,1.0,HOXB13,0.14358628,1.0
FOXO1,-0.03354064,1.0,ZBTB2,,0.010332062322718293,ELK1,-0.3625678,1.0,BMAL1,0.11077546,1.0,POU4F2,0.20680088,1.0
PPARA,-0.2495801,1.0,CBX2,-0.93032306,0.010435965869062489,TFAP2A,1.0122917,1.0,KLF6,0.106825694,1.0,NR1H3,3.1184707,1.0
BHLHE22,-0.17069097,1.0,RBPJ,,0.011416859461775525,ZNF263,0.35631782,1.0,MYBL1,-1.7053232,1.0,TP53,,1.0
SOX2,-0.007572069,1.0,MITF,,0.012484945729034254,NCOA1,0.31274384,1.0,NR1H3,2.1249654,1.0,RBPJ,0.72403604,1.0
NCOA1,-0.045590423,1.0,WT1,1.1720556,0.012734859186447034,NFYA,-0.3898689,1.0,TERF2,0.09117682,1.0,HOXB7,1.1739761,1.0
NR2F6,-0.09240367,1.0,BCL11A,1.7186297,0.013782824238143148,FLI1,1.0028926,1.0,BATF,0.2346393,1.0,MEIS1,0.1781862,1.0
MAFF,-0.08786698,1.0,RARA,,0.013782824238143148,DUX4,0.18364032,1.0,MEF2C,,1.0,ELF1,,1.0
AR,0.30864078,1.0,ZNF740,4.00626,0.014337014793749377,EOMES,0.13633655,1.0,SREBF2,0.16525082,1.0,KDM5B,0.9458221,1.0
KLF10,2.0073006,1.0,NFKB2,,0.01597213989046304,KDM5B,0.6115708,1.0,PBX2,0.29391146,1.0,IRF3,,1.0
