Neural_n,Neural_l,Neural_p,MSC_n,MSC_l,MSC_p,Fibroblast_n,Fibroblast_l,Fibroblast_p,Megakaryocyte_n,Megakaryocyte_l,Megakaryocyte_p,Myeloid_n,Myeloid_l,Myeloid_p
TFCP2,,0.004062880332442444,KLF9,,0.0988046094820442,MYBL2,0.028366316,1.0,SP4,-0.4674996,1.0,NFYA,0.115029305,1.0
ATF6,0.42245367,0.0041282521712835306,CREB3L1,1.5941195,0.10301865082219902,NFIC,-0.13191779,1.0,ATF2,-0.8534038,1.0,ETV1,,1.0
NFYB,2.1465948,0.004399919512812484,PBX3,1.6950198,0.10562729422592347,PGR,-0.17709622,1.0,GLI2,,1.0,IRF9,0.09834473,1.0
SREBF2,-1.8080912,0.005115159229842876,FOXJ2,,0.10562729422592347,ZNF24,-0.28247848,1.0,NR1H3,,1.0,ZNF263,-0.65312815,1.0
RARA,2.4661195,0.0059872445010745595,STAT5A,1.1599019,0.10920181247779681,TEAD2,0.071128055,1.0,PIN1,-1.8618063,1.0,EHF,0.047798354,1.0
TFAP4,-1.5505491,0.006129695316333447,SIX5,1.2424854,0.11011297629684402,MAFK,-0.00941887,1.0,E2F3,0.06419373,1.0,CTCFL,,1.0
ADNP,-0.27921465,0.010858287817621156,MYB,3.9395428,0.11382929657675303,FOXP2,-0.9456861,1.0,IRF3,,1.0,MEF2C,-0.21694982,1.0
TP73,-0.66047376,0.011024974169908858,RARG,2.203399,0.12466356380411672,KLF4,0.27784806,1.0,RFX1,,1.0,TFDP1,0.57546985,1.0
TFDP1,1.3520724,0.012543347676335723,LHX2,,0.14332075469403946,CLOCK,-0.076302715,1.0,FOXJ2,,1.0,TBP,0.15834098,1.0
CTCFL,,0.01263858427816428,NME2,-2.2590537,0.15297553678193854,TP73,-0.092131555,1.0,HIF1A,-0.86794776,1.0,ZNF197,-0.33038852,1.0
MAFK,-0.8149566,0.014474847881799546,POU5F1,-2.6032817,0.20279607592883755,JUNB,0.27053463,1.0,ZNF24,0.8023737,1.0,MAX,0.11795036,1.0
THAP1,-1.902169,0.015028220351152241,REST,2.6049204,0.21613166822029414,ESRRA,0.009713025,1.0,HINFP,1.0919741,1.0,NFKB2,0.26458117,1.0
NCOA2,-0.66792375,0.017842489736308902,KLF3,,0.23394895455054596,CEBPD,-0.19592744,1.0,ELF1,-3.0466156,1.0,FOXO3,1.7350175,1.0
PCGF2,-0.88347805,0.018109507874729792,TCF12,,0.2491762480830681,ZBTB7A,0.14539038,1.0,KLF5,-0.5803423,1.0,ARID2,0.24270369,1.0
E2F6,,0.025590111183717196,HNF4A,-1.0829245,0.2653204880634267,KLF1,0.036963202,1.0,ELK4,-1.4737483,1.0,PPARD,1.0619953,1.0
MAFF,-2.329032,0.034917605299036966,REL,3.294192,0.28023823066825343,STAT5B,3.5698562,1.0,CREB5,,1.0,NEUROD1,0.5018833,1.0
IKZF1,,0.036974425574329735,ELF1,3.1502671,0.2846413062499804,SP4,-0.08515931,1.0,RELB,2.1471672,1.0,ATF2,-0.4122613,1.0
ARID3A,,0.05265666155468418,PPARA,,0.29823875373118874,BACH1,-0.13129377,1.0,GATA6,0.8510025,1.0,HINFP,,1.0
SNAPC4,,0.05302646194994962,CXXC4,1.1691595,0.3029035096887941,ZKSCAN1,0.00831388,1.0,TBP,-0.7361367,1.0,SPIB,0.028326605,1.0
RUNX3,-0.75909626,0.05686140780041972,KMT2A,,0.3052611804374509,ZNF592,-0.14763035,1.0,MEF2C,-6.9751887,1.0,RUNX3,-0.0033565552,1.0
ESR1,-1.1979128,0.07293890270762662,HOXA9,,0.33234306757470816,BACH2,-0.517967,1.0,FOXO4,0.42282218,1.0,ZNF592,-0.7015594,1.0
CXXC4,1.0039966,0.08651900685571787,ZBTB33,1.2416363,0.620519464487488,CDX2,0.54067785,1.0,MEF2A,,1.0,TCF7,4.0581374,1.0
NME2,-0.658664,0.08829939625890645,MBD1,,0.6389923273287662,KLF6,0.102008775,1.0,SOX6,2.3251524,1.0,TCF12,,1.0
ZNF263,,0.09972426004377828,PPARD,2.2548912,0.662794032661482,ZNF644,4.834676,1.0,TERF1,0.27606112,1.0,THAP1,-0.30422103,1.0
ETS2,1.4068928,0.10175809994557981,VDR,1.1317353,0.6676510463515672,GATA4,-0.020522486,1.0,CXXC4,-0.77640367,1.0,CDX1,-1.0201008,1.0
E2F2,-0.86494917,0.12028287852278906,GATA2,-0.8494929,0.6874078682398798,ZEB1,-0.27326006,1.0,HES1,-0.041485086,1.0,PBX2,0.206248,1.0
SPIB,-0.53194577,0.14763775884805952,SIX2,-1.7728244,0.7077002846756026,LEF1,-0.04796081,1.0,MYCN,,1.0,ZBTB33,0.14000584,1.0
TCF7,,0.24272422932737278,RFX1,,0.8294755961885559,ATF2,-0.43040422,1.0,NCOA1,0.24890633,1.0,MYC,0.116980225,1.0
NR2F6,-0.92425376,0.2442694542733998,SMAD5,2.2625415,0.872073264498695,FOXD3,-0.04523197,1.0,NFKB2,0.8880324,1.0,ZNF24,-0.0003775563,1.0
TCF7L2,-1.3538238,0.2569644822420589,FOXL2,3.5736213,0.9166644367256904,NR2F2,0.9970142,1.0,ZEB1,-3.1629484,1.0,ZBTB7A,0.33806646,1.0
MYNN,2.001104,0.26353938681293043,ARID3A,,1.0,MBD1,0.83081865,1.0,KLF13,-1.1916335,1.0,KLF10,-0.5861562,1.0
SOX9,1.0656699,0.2754228194344006,ATF7,,1.0,TCF7L2,0.121912524,1.0,CREB3L1,-1.2681111,1.0,HIVEP2,0.76661825,1.0
LYL1,-0.4444133,0.3102320452297746,EGR1,,1.0,HINFP,0.3696378,1.0,ZNF263,1.3988229,1.0,ZNF584,0.46461022,1.0
PBX2,-0.5934682,0.3141243130101904,BACH1,1.1785756,1.0,CEBPB,,1.0,ZNF644,,1.0,HMBOX1,-0.3223504,1.0
ZNF384,1.679043,0.31608737990030916,PRDM14,-1.784518,1.0,CREB1,-0.022133479,1.0,ATF6,-0.7967979,1.0,NFKB1,-1.4646245,1.0
NCOA3,-0.4289791,0.3240539273350138,ZNF384,1.3771764,1.0,CEBPE,0.90440494,1.0,ATF5,1.4856344,1.0,ZNF644,1.7681597,1.0
ZNF639,1.6832628,0.49431238865102106,CREB1,1.4145011,1.0,TCF12,,1.0,ARNT,0.574942,1.0,TWIST1,,1.0
SATB1,-0.8843767,0.49729757304664746,FOXA2,-1.8227258,1.0,CREB3L1,-0.24893065,1.0,RFX2,0.20232117,1.0,ARNT,0.03282024,1.0
EBF1,-0.9032841,0.5408734424512152,ZEB1,1.997754,1.0,ELF1,-1.0785352,1.0,EPAS1,,1.0,GATA6,0.4344671,1.0
NFE2L2,1.2891254,0.6165040806404949,RELB,,1.0,MAFF,0.28544888,1.0,SPIB,0.36846933,1.0,YY1,-0.36939788,1.0
ZBTB11,,0.6165040806404949,BCL11A,1.166185,1.0,SREBF1,-0.3853986,1.0,GFI1B,,1.0,USF2,-0.19723757,1.0
SOX6,,0.6312581518644451,HINFP,,1.0,ARID2,-0.5533908,1.0,NR1H2,-1.0185311,1.0,HNF1B,0.74798375,1.0
MEF2B,,0.7839496237629449,JUNB,1.812067,1.0,NR4A1,0.0925462,1.0,MYNN,-2.6952355,1.0,RELA,-1.0299973,1.0
TFAP2A,2.15343,0.8403155315333839,TEAD4,-1.581539,1.0,ZNF318,-0.1987982,1.0,NEUROD1,2.0352814,1.0,SATB1,0.2592977,1.0
FOXO1,-0.5536736,0.9698407298040822,DUX4,,1.0,FOXF2,,1.0,THAP11,,1.0,TFAP4,0.34908348,1.0
PPARG,4.213686,1.0,BHLHE22,-0.5277174,1.0,ETV1,2.9200082,1.0,STAT6,-2.430236,1.0,RELB,-0.37444767,1.0
CEBPZ,3.900704,1.0,TWIST2,1.2681136,1.0,NCOA2,0.08068804,1.0,NRF1,-2.617224,1.0,SP4,-0.38747156,1.0
SPI1,1.8883456,1.0,ATF6,2.5426166,1.0,GFI1B,-0.7558409,1.0,ETV4,-1.462397,1.0,CUX1,-0.75742865,1.0
NANOG,-1.472358,1.0,NFYC,2.1310678,1.0,FOXJ2,,1.0,KLF1,-1.7072083,1.0,MNT,0.6862673,1.0
KLF9,,1.0,ZNF207,1.0617682,1.0,MXI1,-0.40107068,1.0,SREBF2,0.6155578,1.0,NFE2,0.29658467,1.0
PPARA,-0.6836135,1.0,WT1,1.1492078,1.0,BRF2,-0.24779978,1.0,ZEB2,1.1857873,1.0,NFYB,-0.5044391,1.0
ATF4,1.3075306,1.0,TFAP4,-1.4658295,1.0,ELK4,-1.0614284,1.0,ZNF197,1.0262792,1.0,KMT2B,0.7888715,1.0
RARB,1.2982988,1.0,GLI1,2.297649,1.0,SNAPC4,1.6374308,1.0,POU2F1,0.8692275,1.0,SNAI2,-0.8423226,1.0
