,source,target,gene_A,gene_B,type_gene_A,type_gene_B,MeanLR
442,Fibroblast,Fibroblast,RYK,SMAD3,Receptor,Transcription Factor,0.119462849483634
443,Fibroblast,Fibroblast,TGFBR1,SMAD3,Receptor,Transcription Factor,0.119462849483634
444,Fibroblast,Fibroblast,SMAD3,TGFB1,Transcription Factor,Ligand,0.119462849483634
445,Fibroblast,Fibroblast,SMAD3,LAMC1,Transcription Factor,Ligand,0.119462849483634
446,Fibroblast,Fibroblast,SMAD3,FST,Transcription Factor,Ligand,0.119462849483634
447,Fibroblast,Fibroblast,SMAD3,VEGFA,Transcription Factor,Ligand,0.119462849483634
448,Fibroblast,Fibroblast,SMAD3,COL6A3,Transcription Factor,Ligand,0.119462849483634
449,Fibroblast,Fibroblast,SMAD3,ALCAM,Transcription Factor,Ligand,0.119462849483634
450,Fibroblast,Fibroblast,SMAD3,ANXA1,Transcription Factor,Ligand,0.119462849483634
451,Fibroblast,Fibroblast,SMAD3,ANXA2,Transcription Factor,Ligand,0.119462849483634
452,Fibroblast,Fibroblast,SMAD3,LIFR,Transcription Factor,Ligand,0.119462849483634
453,Fibroblast,Fibroblast,SMAD3,LTBP3,Transcription Factor,Ligand,0.119462849483634
454,Fibroblast,Fibroblast,SMAD3,TNFRSF1A,Transcription Factor,Ligand,0.119462849483634
455,Fibroblast,Fibroblast,FZD5,SNAI1,Receptor,Transcription Factor,0.60023411364095
456,Fibroblast,Fibroblast,ITGB1,SNAI1,Receptor,Transcription Factor,0.60023411364095
457,Fibroblast,Fibroblast,MET,SNAI1,Receptor,Transcription Factor,0.60023411364095
458,Fibroblast,Fibroblast,PTPRF,SNAI1,Receptor,Transcription Factor,0.60023411364095
459,Fibroblast,Fibroblast,RYK,SNAI1,Receptor,Transcription Factor,0.60023411364095
460,Fibroblast,Fibroblast,TGFBR1,SNAI1,Receptor,Transcription Factor,0.60023411364095
461,Fibroblast,Fibroblast,TGFBR1,SNAI2,Receptor,Transcription Factor,0.173159297357312
469,Fibroblast,Fibroblast,INSR,SP3,Receptor,Transcription Factor,0.50126592672831
