"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"STAT3",4.79689149955699e-18,4.70796603016405,0.98,0.582,1.72208404834096e-15,"MSC","STAT3"
"MEF2A",2.88531035993274e-17,6.38431376114454,0.837,0.299,1.03582641921585e-14,"MSC","MEF2A"
"ATF2",1.09344399442926e-16,5.41620916427418,1,0.985,3.92546394000106e-14,"MSC","ATF2"
"RXRA",5.45835147091782e-16,3.81333111176304,0.918,0.392,1.9595481780595e-13,"MSC","RXRA"
"ETV4",1.72301068965736e-15,2.30332140320473,0.98,0.505,6.18560837586992e-13,"MSC","ETV4"
"STAT1",2.22760577337977e-15,3.42622258185521,0.918,0.515,7.99710472643337e-13,"MSC","STAT1"
"ETV1",6.16169989300758e-15,5.61998756406308,0.857,0.335,2.21205026158972e-12,"MSC","ETV1"
"MYBL2",7.37690304386107e-15,6.92758944823692,0.837,0.284,2.64830819274612e-12,"MSC","MYBL2"
"MEF2C",8.6704381677729e-15,5.43979562236941,0.878,0.412,3.11268730223047e-12,"MSC","MEF2C"
"MBD3",1.42952616372951e-14,4.87685495073503,0.673,0.196,5.13199892778895e-12,"MSC","MBD3"
"MEF2D",2.51907427200341e-14,7.14341394277532,0.735,0.103,9.04347663649224e-12,"MSC","MEF2D"
"NR1H2",2.51907427200341e-14,3.32861437183911,1,0.902,9.04347663649224e-12,"MSC","NR1H2"
"FOXM1",4.19050630849428e-14,3.26073927162045,0.878,0.552,1.50439176474945e-11,"MSC","FOXM1"
"TP53",9.80614271515699e-14,3.5528994983916,0.898,0.536,3.52040523474136e-11,"MSC","TP53"
"KLF3",1.72652943912187e-13,7.69536855639126,0.796,0.299,6.19824068644751e-11,"MSC","KLF3"
"SP1",3.57838298173307e-13,3.31841731345687,0.959,0.835,1.28463949044217e-10,"MSC","SP1"
"FOXP2",5.26390427092918e-13,3.45494514263968,0.857,0.464,1.88974163326357e-10,"MSC","FOXP2"
"NR2F2",6.22045862313005e-13,5.64701306648451,0.776,0.32,2.23314464570369e-10,"MSC","NR2F2"
"CEBPB",1.28903073832383e-12,4.76944775647009,0.816,0.392,4.62762035058255e-10,"MSC","CEBPB"
"TFAP2A",3.48255882835418e-12,6.91900954372139,0.735,0.273,1.25023861937915e-09,"MSC","TFAP2A"
"ELK4",5.54911498243564e-12,3.28735059057229,0.959,0.881,1.99213227869439e-09,"MSC","ELK4"
"FOXL2",7.879070853979e-12,4.84999132084806,0.776,0.268,2.82858643657846e-09,"MSC","FOXL2"
"ZEB1",1.65259142499818e-11,3.24144984811271,0.796,0.34,5.93280321574347e-09,"MSC","ZEB1"
"MBD4",3.9364378987652e-11,5.56951202844055,0.776,0.309,1.41318120565671e-08,"MSC","MBD4"
"ESR2",4.31598641880836e-11,3.08417326479449,0.959,0.871,1.5494391243522e-08,"MSC","ESR2"
"ELK1",7.35695528731423e-11,2.77492507680791,1,0.974,2.64114694814581e-08,"MSC","ELK1"
"NFKB1",1.3430872463169e-10,2.55039798859114,0.939,0.68,4.82168321427768e-08,"MSC","NFKB1"
"CREB1",1.70483124933476e-10,3.06167039933383,0.918,0.567,6.1203441851118e-08,"MSC","CREB1"
"TWIST2",1.83625856325602e-10,2.47577301379334,0.796,0.309,6.59216824208911e-08,"MSC","TWIST2"
"STAT6",2.4682777067147e-10,3.09856875082018,0.959,0.763,8.86111696710578e-08,"MSC","STAT6"
"MAZ",2.50492052495435e-10,3.45526845269066,0.898,0.51,8.9926646845861e-08,"MSC","MAZ"
"KLF4",5.19982834068923e-10,3.73992592701467,0.551,0.196,1.86673837430743e-07,"MSC","KLF4"
"KLF6",6.00854117859723e-10,3.83344317833193,0.694,0.247,2.15706628311641e-07,"MSC","KLF6"
"REST",1.92879330765442e-09,5.26290210302328,0.776,0.366,6.92436797447938e-07,"MSC","REST"
"CUX1",2.28124931352391e-09,2.7525536814512,0.898,0.582,8.18968503555083e-07,"MSC","CUX1"
"SP4",2.73386734537678e-09,2.55154128574073,1,0.964,9.81458376990264e-07,"MSC","SP4"
"FOXP1",3.31905407208352e-09,2.38811619427029,0.959,0.608,1.19154041187798e-06,"MSC","FOXP1"
"ZHX1",1.47209898441989e-08,2.8706296479947,0.918,0.716,5.28483535406739e-06,"MSC","ZHX1"
"HSF2",2.83948928801765e-08,1.46846769260464,0.98,0.99,1.01937665439834e-05,"MSC","HSF2"
"ARID3A",5.40854396352264e-08,2.73317896256476,0.776,0.402,1.94166728290463e-05,"MSC","ARID3A"
"NFYC",6.38182099626918e-08,1.94149151815344,0.776,0.443,2.29107373766064e-05,"MSC","NFYC"
"ATF3",1.42351576878788e-07,1.25760756012843,0.735,0.335,5.11042160994851e-05,"MSC","ATF3"
"AR",4.09901713521212e-07,1.1838607366009,0.837,0.552,0.000147154715154115,"MSC","AR"
"SNAI1",9.12478994926138e-07,3.32365829294204,0.694,0.304,0.000327579959178484,"MSC","SNAI1"
"SOX13",1.21750618423603e-06,2.7292402387635,0.714,0.407,0.000437084720140734,"MSC","SOX13"
"SP3",2.29671928019557e-06,2.98931820739287,0.878,0.624,0.00082452222159021,"MSC","SP3"
"RELA",2.68506747143167e-06,3.06588523659742,0.755,0.562,0.00096393922224397,"MSC","RELA"
"MNT",3.78162434941626e-06,2.66205406080273,0.653,0.371,0.00135760314144044,"MSC","MNT"
"FLI1",4.21900483386798e-06,2.89934988731758,0.673,0.309,0.00151462273535861,"MSC","FLI1"
"MSX2",4.40719349927061e-06,1.65542894957468,0.245,0.536,0.00158218246623815,"MSC","MSX2"
"MTF11",5.41641782202503e-06,0.82518985027772,0.265,0.536,0.00194449399810699,"MSC","MTF1"
"LEF1",9.43644593809535e-06,4.85230788632547,0.51,0.216,0.00338768409177623,"MSC","LEF1"
"GLYR1",1.04834447269825e-05,0.845927019149703,0.49,0.16,0.00376355665698673,"MSC","GLYR1"
"PRDM11",1.31909225899812e-05,3.90455503255353,0.653,0.335,0.00473554120980325,"MSC","PRDM1"
"PAX5",1.40379738731065e-05,1.45660441108733,0.551,0.278,0.00503963262044522,"MSC","PAX5"
"MYB",1.63884643589583e-05,1.19592674356253,0.714,0.464,0.00588345870486603,"MSC","MYB"
"ZNF175",1.9705130139397e-05,2.28333582900273,0.755,0.485,0.00707414172004352,"MSC","ZNF175"
"ZBTB21",2.89244862366918e-05,1.47403902701985,0.898,0.696,0.0103838905589724,"MSC","ZBTB2"
"MITF1",3.49498155128253e-05,2.0994588489917,0.694,0.454,0.0125469837691043,"MSC","MITF"
"WT1",3.56492361426924e-05,0.731004835667335,0.898,0.82,0.0127980757752266,"MSC","WT1"
"RARA",3.85820866383162e-05,2.60312144011512,0.673,0.402,0.0138509691031555,"MSC","RARA"
"BCL11A",3.85820866383162e-05,1.05448884619068,0.939,0.722,0.0138509691031555,"MSC","BCL11A"
"ZNF740",4.01330286037069e-05,2.23556684596568,0.755,0.515,0.0144077572687308,"MSC","ZNF740"
"FOSB",5.27660182696653e-05,3.23881034370615,0.653,0.299,0.0189430005588098,"MSC","FOSB"
"FOXF2",6.84494973743876e-05,3.8650767626056,0.837,0.928,0.0245733695574052,"MSC","FOXF2"
"YY1",6.97717628384899e-05,1.45910776362374,0.796,0.572,0.0250480628590179,"MSC","YY1"
"NFATC1",0.000120484399931976,0.470210872559725,0.918,0.711,0.0432538995755794,"MSC","NFATC1"
"YBX1",0.000134623138578819,6.02878975393974,0.878,0.691,0.0483297067497962,"MSC","YBX1"
"CXXC4",0.000134623138578819,0.712456915814311,0.939,0.83,0.0483297067497962,"MSC","CXXC4"
"GLI1",0.000305184464831908,4.43491563560306,0.612,0.304,0.109561222874655,"MSC","GLI1"
"ELF1",0.000307872219273223,1.48367245565678,0.755,0.51,0.110526126719087,"MSC","ELF1"
"FOXD3",0.000344502756730759,2.86245563130296,0.163,0.031,0.123676489666343,"MSC","FOXD3"
"HIF1A1",0.000354006245137094,0.602211548709772,0.939,0.84,0.127088242004217,"MSC","HIF1A"
"USF1",0.000372915950240839,0.654445060735066,0.959,0.861,0.133876826136461,"MSC","USF1"
"JUNB",0.000382721031664107,1.00885833842875,0.796,0.546,0.137396850367414,"MSC","JUNB"
"TCF7",0.00038604257903966,3.22523800364598,0.633,0.397,0.138589285875238,"MSC","TCF7"
"ZC3H8",0.00038604257903966,2.19374411017018,0.673,0.448,0.138589285875238,"MSC","ZC3H8"
"ARID2",0.000783998295247575,1.72307597677597,0.796,0.66,0.28145538799388,"MSC","ARID2"
"BCL6",0.000923365887970762,2.9990597251665,0.449,0.335,0.331488353781503,"MSC","BCL6"
"MAF",0.00122376427151602,1.6960195816261,0.571,0.34,0.439331373474251,"MSC","MAF"
"MAX",0.00128353780503009,0.647943183068187,0.857,0.701,0.460790072005803,"MSC","MAX"
"ZNF165",0.00207966811078506,2.069205815393,0.612,0.407,0.746600851771837,"MSC","ZNF165"
"RFX5",0.00224410633889289,1.05918938867034,0.898,0.758,0.805634175662548,"MSC","RFX5"
"E2F6",0.00233071764820887,1.7004976868339,0.653,0.485,0.836727635706985,"MSC","E2F6"
"PAX6",0.00233071764820887,2.67259200439835,1,0.995,0.836727635706985,"MSC","PAX6"
"ZNF3841",0.00258976893125808,0.876043287167533,0.837,0.66,0.929727046321651,"MSC","ZNF384"
"HSF11",0.00264859694152753,1.5097942319259,0.694,0.49,0.950846302008384,"MSC","HSF1"
"NR1H4",0.0034311102360975,2.06561254650266,0.388,0.088,1,"MSC","NR1H4"
"SOX9",0.0038545690662043,2.00922595032883,0.918,0.789,1,"MSC","SOX9"
"ATF6",0.0061494579741784,1.23820552534131,0.571,0.32,1,"MSC","ATF6"
"NR1I2",0.00636556990071745,1.12049237163104,0.816,0.67,1,"MSC","NR1I2"
"FOS1",0.0075520480913412,0.685909521570187,0.571,0.407,1,"MSC","FOS"
"GLI3",0.00802547769544189,2.35477274714256,0.367,0.036,1,"MSC","GLI3"
"REL",0.00852530862859374,4.41259775917124,0.592,0.433,1,"MSC","REL"
"E2F4",8.07069617771004e-06,2.35549446304944,0.897,0.724,0.0028973799277979,"Fibroblast","E2F4"
"MYC",0.000796061053751394,3.26630970065799,1,0.967,0.28578591829675,"Fibroblast","MYC"
"SP2",0.00228740245725408,1.11580238153894,0.793,0.547,0.821177482154216,"Fibroblast","SP2"
"SMAD5",0.00313257134751943,1.67894821157478,1,1,1,"Fibroblast","SMAD5"
"SIX5",0.00577695024855328,0.885777943079036,1,0.958,1,"Fibroblast","SIX5"
