"","Fibroblast","Megakaryocyte","MSC","Myeloid","Neural"
"HOXB7",-0.0709759037709618,-0.274951965942288,0.43014509955641,-0.444453945256354,-0.00489115133697682
"HSF1",-0.271981437095757,-0.639193988032159,0.37256808050774,-0.685120715512371,0.219332337755777
"HSF2",0.110488465311558,-0.504974275132193,0.714781085709277,-0.330020681859564,-0.138292274616554
"IKZF1",-0.891200814183936,-0.349706937942201,-0.00761952733018822,-0.867931689688312,0.505998370103666
"IRF1",-1.08912146986466,-0.199744507982645,-0.114132143065012,-0.782907518399112,0.54621612320464
"IRF2",-0.752699511134097,-0.52386017712803,-0.145890531223821,-0.894654830415053,0.582765966662885
"IRF3",0.369683472650207,-0.127914260081664,-0.224577924754904,-0.377749171885279,0.114367467517372
"IRF4",-0.168407607231175,-0.0346399323833421,0.685388881737078,-0.268286086015846,-0.191879077192393
"IRF8",0.223021813926095,-0.64053042482088,0.455541059047153,-0.0523699121953333,-0.0747207479647161
"IRF9",-0.65848876289195,-0.235790375333566,-0.632224000023082,-0.648966358005384,0.643527568027932
"JUN",-0.398596210997771,-0.474423900580239,1.31936032757385,-0.703774831627722,-0.202409176672667
"JUNB",-0.452540212136017,0.265611208393855,0.4601739279192,-0.525090042213961,-0.0474653714017041
"JUND",-0.497158738274989,0.639596851839936,0.657253835533799,-0.846218113466387,-0.156363602470113
"KDM5B",-0.230541455058448,-0.0478451751262813,1.07777946177496,-0.448239223273297,-0.306969946796461
"KLF1",-0.287350902024576,-0.490087517812531,-0.395137562911069,-1.08744376794379,0.601863829807483
"KLF10",-0.442926826119368,0.901756626087259,-0.00133439589780949,-0.104116997791871,-0.104890575687057
