source,target,gene_A,gene_B,type_gene_A_py,type_gene_B_py,MeanLR_py,type_gene_A_r,type_gene_B_r,MeanLR_r
Fibroblast,Fibroblast,TFAP2C,POSTN,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,RARRES1,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,VEGFA,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,TFAP2C,VWF,Transcription_Factor,Ligand,-0.7235671281814575,Transcription Factor,Ligand,-0.723567091164512
Fibroblast,Fibroblast,MYOD1,ETV5,Transcription_Factor,Ligand,-0.3373999297618866,Transcription Factor,Ligand,-0.337399966335851
Fibroblast,Fibroblast,RUNX2,ANGPT1,Transcription_Factor,Ligand,-0.2466190159320831,Transcription Factor,Ligand,-0.246619004524834
Fibroblast,Fibroblast,RUNX2,LGALS3,Transcription_Factor,Ligand,-0.2466190159320831,Transcription Factor,Ligand,-0.246619004524834
Fibroblast,Fibroblast,RUNX2,VEGFA,Transcription_Factor,Ligand,-0.2466190159320831,Transcription Factor,Ligand,-0.246619004524834
Fibroblast,Fibroblast,EGR1,ADM,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,ANGPT1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,BDNF,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,CALR,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,CLEC11A,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,DLK1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,ETV5,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,FAM3C,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,GAL,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,HSPA8,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LAMB1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LAMB2,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LGALS1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LGALS3,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LGALS3BP,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,LTBP3,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,MFGE8,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,MIF,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,MYL9,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,NID1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,TGFB1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,VCAM1,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
Fibroblast,Fibroblast,EGR1,VEGFA,Transcription_Factor,Ligand,-0.6004867553710938,Transcription Factor,Ligand,-0.600486717038984
